kind,source_id,external_notice_id,title,issuer,posted_at,deadline,key_conditions,detail_url,status,conflicts,extraction_failures
UPDATED,kstartup,179192,베트남 테크페스트(TECHFEST 2026) K-스타트업 통합관 참가기업 모집공고,오늘마감,2026-09-10,2026-09-17,□ (지원대상) | 신청자격 및 요건 | 신청자격,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=179192&pbancEndYn=N,NEW/UPDATED,,_1._.docx: unsupported or unrecognized type for '_1._.docx' (sniffed=zip);_2._.docx: unsupported or unrecognized type for '_2._.docx' (sniffed=zip)
UPDATED,kstartup,179064,「2026 투자유치 프로그램: 멘토링」참가기업 모집 공고,오늘마감,2026-08-27,2026-09-17,,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=179064&pbancEndYn=N,NEW/UPDATED,,
UPDATED,kstartup,178952,「모두의 창업 프로젝트」통합 모집공고 2차,오늘마감,2026-08-20,2026-09-17,지원대상 | (지원대상) 혁신적인아이디어를보유한전국민누구나 | 신청자격 및 요건,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=178952&pbancEndYn=N,NEW/UPDATED,,
NEW,kstartup,178896,2026년 모두의 창업 글로벌 재외국민 프로그램 참여자 모집 공고,글로벌,2026-08-12,2026-09-28,"지원 대상으로 하는 사업 공고 및 기업 모집, 국외 창업기업 여부 확인 | (지원대상 | 총영사관 실명등록 대상 : 대한민국 국적을 가진 재외국민 및 해외체류자",https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=178896&pbancEndYn=N,NEW/UPDATED,,_1_FAQ.pdf: omitted: evidence size budget exhausted;_2_.pdf: omitted: evidence size budget exhausted;_5-4_The_Circle_FC_.pdf: omitted: evidence size budget exhausted;_5-5_PnP_APAC_.pdf: omitted: evidence size budget exhausted;_5-3_BDMT_Global_.pdf: omitted: evidence size budget exhausted;_1_.hwp: omitted: evidence size budget exhausted;_5-2_-K_Nuleep_Company_.pdf: omitted: evidence size budget exhausted;_3_I-PIN_K-startup_.pdf: omitted: evidence size budget exhausted;_2_.hwp: omitted: evidence size budget exhausted;_5-1_-AI_Berkeley_SKYDECK_.pdf: omitted: evidence size budget exhausted;_1_.docx: unsupported or unrecognized type for '_1_.docx' (sniffed=zip);_2_.docx: unsupported or unrecognized type for '_2_.docx' (sniffed=zip)
NEW,kstartup,178802,2026 SVC Seoul 멤버십(확장형) 모집공고,시설ㆍ공간ㆍ보육,2026-08-06,2026-12-11,"① 실명등록 대상 : 개명인, 외국인, 미성년자 등 인터넷 실명 확인 불가능자 | □모집대상: 예비창업자* 및 업력 7년 이내의 창업기업** | < 신청 자격 세부 조건>",https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=178802&pbancEndYn=N,NEW/UPDATED,,2._SVC_Seoul_.docx: unsupported or unrecognized type for '2._SVC_Seoul_.docx' (sniffed=zip);3._SVC_Seoul_.docx: unsupported or unrecognized type for '3._SVC_Seoul_.docx' (sniffed=zip)
NEW,kstartup,178803,2026 SVC Seoul Membership(Global) Recruitment Announcement,시설ㆍ공간ㆍ보육,2026-08-06,2026-12-11,"□모집대상: 국내 창업 또는 한국 시장 진출을 희망하는 예비창업자* | < 신청 자격 세부 조건> | • 공동대표 또는 각자대표로 구성된 기업의 경우, 대표자 전원이 ‘신청자격’에 해당되고, ‘신청",https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=178803&pbancEndYn=N,NEW/UPDATED,,2._2026_SVC_Seoul_Membership_Global_Application_Form.docx: unsupported or unrecognized type for '2._2026_SVC_Seoul_Membership_Global_Application_Form.docx' (sniffed=zip);3._Guide_to_the_list_of_Supporting_Documents_to_Submit.docx: unsupported or unrecognized type for '3._Guide_to_the_list_of_Supporting_Documents_to_Submit.docx' (sniffed=zip)
NEW,kstartup,178698,「2026년 하반기 화성특례시 사회적경제 창업아카데미」교육생 모집,창업교육,2026-07-28,2026-10-19,라. 교육대상: 화성시민(또는 일반시민) 포함 사회적경제기업 예비창업자,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=178698&pbancEndYn=N,NEW/UPDATED,,_2_2026___.pdf: image-only PDF: no extractable text (OCR disabled)
NEW,bizinfo,PBLN_000000000126547,[전북] 군산시 2026년 4차 우수농산물 공동상표 포장재 디자인 지원사업 신청 공고,전북특별자치도,2026-09-16,2026-10-06,나. 지원대상 :,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000126547,NEW/UPDATED,,
NEW,bizinfo,PBLN_000000000126546,[전북] 군산시 2026년 2차 우수농산물 공동 포장재 디자인 지원사업 신청 공고,전북특별자치도,2026-09-16,2026-10-06,가. 지원대상 : | - 당해연도 지원대상 수에 따라 예산 범위 내 보조금 변동 가능,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000126546,NEW/UPDATED,,
NEW,bizinfo,PBLN_000000000126545,2027년 수출컨소시엄 사업 주관단체 및 과제 모집 공고,중소벤처기업부,2026-09-16,2026-10-07,"□ 신청대상 : 업종별 협·단체, 수출유관기관, 민간전문기업 등 | □ 신청대상 : 업종별 협·단체, 수출유관기관, 민간전문기업 등",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000126545,NEW/UPDATED,,
